Timestamp,Open,High,Low,Close,VWAP,Volume,Count,Crypto
16-01-2025,116.94,130.36,114.08,124.38,121.74,110156.3192,23429,Litecoin
17-01-2025,124.43,141,124.43,137.07,134.9,84373.4244,19501,Litecoin
18-01-2025,137.1,139.44,123.19,125.29,127.76,55604.27295,12938,Litecoin
19-01-2025,125.27,128.48,111.3,115.41,120.5,79491.95567,17336,Litecoin
20-01-2025,115.4,127.42,112.69,118.48,119.07,76875.25084,19169,Litecoin
21-01-2025,118.45,125.03,113.65,119.12,119.5,38425.93952,12435,Litecoin
22-01-2025,118.89,120.34,114.14,115.28,117.01,26213.313,6303,Litecoin
23-01-2025,115.1,117.55,111.19,116.51,114.86,34221.38738,8712,Litecoin
24-01-2025,116.49,123,112.84,118.67,118.62,48394.79386,10446,Litecoin
25-01-2025,118.78,127.49,118.31,124.01,124.22,41477.17758,9664,Litecoin
26-01-2025,124.01,125.09,117,117,122.13,25213.45904,7232,Litecoin
27-01-2025,117.07,117.9,106.11,115.08,111.62,70344.68748,12036,Litecoin
28-01-2025,115.08,116.91,109.15,109.97,113.85,28205.29815,7029,Litecoin
29-01-2025,109.81,119.37,109.78,115.89,113.96,23202.74484,7657,Litecoin
30-01-2025,115.92,135,114.26,130.15,128.82,118761.3476,21350,Litecoin
31-01-2025,130.18,135.2,124.01,128.05,129.56,72647.45428,12596,Litecoin
01-02-2025,127.98,131.23,117.98,118,125.47,54284.65396,10409,Litecoin
02-02-2025,117.95,121.37,104,109.07,114.59,109159.955,14045,Litecoin
03-02-2025,109.11,109.12,80.44,107.05,97.34,146346.5365,25165,Litecoin
04-02-2025,107.01,108.77,98.51,101.27,102.78,73473.22008,11631,Litecoin
05-02-2025,101.09,109.35,100.53,103.37,104.83,32160.81051,9636,Litecoin
06-02-2025,103.3,109.62,99.63,101.71,104.39,38132.60824,8652,Litecoin
07-02-2025,101.71,108.03,100.66,103.17,104.3,49011.37135,8616,Litecoin
08-02-2025,103.04,105.16,101.78,104.72,103.59,18325.12758,5562,Litecoin
09-02-2025,104.75,109.11,102.31,107.17,106.59,35327.58733,7455,Litecoin
10-02-2025,107.21,122.38,107.21,120.13,115.77,124728.5714,16982,Litecoin
11-02-2025,120.13,132.24,117.72,128.14,127.33,75398.14638,10627,Litecoin
23-02-2023,7.1842,7.3778,7.018,7.102,7.218,327668.8414,3212,Polkadot
24-02-2023,7.1012,7.1406,6.4787,6.6141,6.7442,545849.6842,4907,Polkadot
25-02-2023,6.6128,6.6464,6.3358,6.5443,6.5105,273295.0692,2312,Polkadot
26-02-2023,6.5398,6.7249,6.5044,6.6927,6.6491,207179.2532,1898,Polkadot
27-02-2023,6.6926,6.7764,6.4957,6.5799,6.6316,164925.2521,2021,Polkadot
28-02-2023,6.5886,6.5921,6.2749,6.3471,6.4334,184941.7164,2223,Polkadot
01-03-2023,6.3471,6.5912,6.3197,6.5314,6.4875,159758.9334,2218,Polkadot
02-03-2023,6.5396,6.5533,6.2268,6.3309,6.3483,163544.5405,2071,Polkadot
03-03-2023,6.3309,6.331,5.8,6.0331,6.0113,620947.2404,4628,Polkadot
04-03-2023,6.0349,6.0535,5.7367,5.9148,5.9204,275852.2737,2413,Polkadot
05-03-2023,5.9146,6.0572,5.8911,5.9866,5.9966,164015.9097,1679,Polkadot
06-03-2023,5.9704,6.0418,5.8646,5.9196,5.951,165820.0756,2193,Polkadot
07-03-2023,5.9241,6.0085,5.7423,5.841,5.8419,252650.746,2642,Polkadot
08-03-2023,5.8426,5.9337,5.5001,5.6001,5.6704,455017.9756,4748,Polkadot
09-03-2023,5.601,5.7997,5.232,5.3847,5.5327,500128.8536,6173,Polkadot
10-03-2023,5.3835,5.6032,5.1526,5.5577,5.4046,447693.2262,3755,Polkadot
11-03-2023,5.5772,5.7324,5.2764,5.5072,5.4382,604834.4351,4805,Polkadot
12-03-2023,5.5057,5.9388,5.4134,5.9388,5.6169,429134.9228,4662,Polkadot
13-03-2023,5.9397,6.171,5.7192,6.1237,6.0002,714856.6604,7174,Polkadot
14-03-2023,6.1322,6.5597,6.0184,6.2448,6.2926,524126.7435,6828,Polkadot
15-03-2023,6.2534,6.3894,5.7983,5.8915,6.0412,525093.9452,5354,Polkadot
16-03-2023,5.8865,6.1505,5.789,6.1008,6.0192,343935.3511,3866,Polkadot
17-03-2023,6.1022,6.6442,6.0454,6.6397,6.3921,562768.508,4467,Polkadot
18-03-2023,6.6402,6.7104,6.3019,6.3232,6.546,275013.5126,2996,Polkadot
19-03-2023,6.3316,6.6149,6.3316,6.4609,6.4879,218597.6736,2423,Polkadot
20-03-2023,6.4918,6.4982,6.0641,6.0969,6.3016,307826.8976,3918,Polkadot
