Timestamp,Open,High,Low,Close,VWAP,Volume,Count,Crypto,Volatility,Price_Change,RSI,MA_7,MA_14,Close_Lag_1,Close_Lag_2,Close_Lag_3,Rolling_Std_7,Rolling_Std_14,EMA_7,EMA_14,MACD,Day_of_Week,Month,Week_of_Year
22/11/2023,1933.47,2092.0,1931.23,2064.2,2037.81,38118.18477,14496,Ethereum,160.77,130.06,60.32064128,1988.46,2022.112857,1934.14,2021.87,2012.77,45.6152638926986,54.6579265035737,2003.95812328673,1985.29591896075,18.6622043259826,2,11,47
23/11/2023,2064.2,2088.51,2038.15,2062.76,2060.8,11488.80165,9584,Ethereum,50.36,-1.44,45.43693708,2002.925714,2018.074286,2064.2,1934.14,2021.87,51.3377118880977,48.6872789757824,2018.65859246505,1995.62446309931,23.0341293657327,3,11,47
24/11/2023,2062.75,2132.95,2060.41,2081.28,2097.32,25513.33313,12511,Ethereum,72.54,18.52,50.28492894,2020.051429,2018.317143,2062.76,2064.2,1934.14,55.0383843114935,49.0159141235004,2034.31394434878,2007.04520135274,27.268742996046,4,11,47
25/11/2023,2081.27,2091.48,2067.27,2083.76,2082.95,8431.613748,6495,Ethereum,24.21,2.48,52.70126657,2037.254286,2020.532143,2081.28,2062.76,2064.2,53.1450379800918,51.3372983584741,2046.67545826159,2017.27384117237,29.4016170892145,5,11,47
26/11/2023,2083.83,2094.67,2037.71,2062.85,2060.81,17457.31814,9411,Ethereum,56.96,-20.91,51.49462073,2044.408571,2021.786429,2083.76,2081.28,2062.76,52.6683714160567,52.1960512221619,2050.71909369619,2023.35066234939,27.3684313468004,6,11,47
27/11/2023,2062.84,2071.73,1986.01,2027.19,2017.87,28884.34434,10696,Ethereum,85.72,-35.66,47.75182934,2045.168571,2019.815714,2062.85,2083.76,2081.28,52.3262089933878,51.3688110573943,2044.83682027214,2023.86257403614,20.974246236004,0,11,48
28/11/2023,2027.44,2076.44,1996.16,2049.41,2039.41,25250.84924,10760,Ethereum,80.28,22.22,56.2418598,2061.635714,2024.813571,2027.19,2062.85,2083.76,19.2382924200353,50.53539135,2045.9801152041,2027.26889749798,18.7112177061198,1,11,48
29/11/2023,2048.91,2075.0,2020.04,2029.53,2046.36,13191.56375,11240,Ethereum,54.96,-19.88,46.85401592,2056.682857,2022.571429,2049.41,2027.19,2062.85,22.6316781778006,49.4958621203096,2041.86758640308,2027.57037783159,14.2972085714909,2,11,48
30/11/2023,2029.4,2054.48,2022.74,2052.03,2037.24,8958.386034,10582,Ethereum,31.74,22.5,60.72706591,2055.15,2029.037857,2029.53,2049.41,2027.19,22.5145397465876,46.7403688439668,2044.40818980231,2030.83166078737,13.5765290149324,3,11,48
2023-01-12 00:00:00,2052.03,2110.0,2046.11,2086.99,2091.0,18603.40916,12892,Ethereum,63.89,34.96,63.74581354,2055.965714,2038.008571,2052.03,2029.53,2049.41,23.69169323987,44.7708234073394,2055.05364235173,2038.31943934906,16.7342030026718,4,12,48
2023-02-12 00:00:00,2086.98,2187.99,2086.98,2165.6,2130.38,19187.20773,12519,Ethereum,101.01,78.61,68.95595127,2067.657143,2052.455714,2086.99,2052.03,2029.53,47.7111198479304,51.0200896652515,2082.690232,2055.29018076918,27.4000509946131,5,12,48
2023-03-12 00:00:00,2165.61,2217.74,2147.84,2193.33,2172.99,23969.20912,11948,Ethereum,69.9,27.73,67.63970301,2086.297143,2065.352857,2165.6,2086.99,2052.03,67.07771232,61.8817386296146,2110.350174,2073.69548999996,36.6546838228882,6,12,48
2023-04-12 00:00:00,2193.34,2275.38,2148.0,2243.02,2230.05,49787.99339,21281,Ethereum,127.38,49.69,70.01756006,2117.13,2081.149286,2193.33,2165.6,2086.99,83.07653199,76.441540807265,2143.51763036713,2096.272091,47.2455390338377,0,12,49
2023-05-12 00:00:00,2243.02,2310.04,2188.81,2292.9,2255.51,32555.6713,19287,Ethereum,121.23,49.88,84.86220702,2151.914286,2106.775,2243.02,2193.33,2165.6,99.3728079602558,83.2032602680359,2180.86322277535,2122.48914582219,58.37407695,1,12,49
2023-06-12 00:00:00,2292.91,2316.37,2221.57,2233.47,2265.89,26705.67982,16036,Ethereum,94.8,-59.43,69.06580163,2181.048571,2118.865714,2292.9,2243.02,2193.33,86.5847414249202,88.6603588215916,2194.01491708151,2137.2865930459,56.7283240356136,2,12,49
2023-07-12 00:00:00,2233.46,2382.0,2222.09,2356.41,2306.04,34220.20023,17720,Ethereum,159.91,122.94,75.96788171,2224.531429,2139.840714,2233.47,2292.9,2243.02,87.4185635184,107.169419322453,2234.61368781113,2166.50304730644,68.1106405046884,3,12,49
2023-08-12 00:00:00,2356.31,2390.0,2338.86,2358.77,2361.55,30868.12959,15450,Ethereum,51.14,2.36,75.2608102,2263.357143,2159.661429,2356.41,2233.47,2292.9,75.7213403901297,120.35502692241,2265.65276585835,2192.13864099892,73.5141248594309,4,12,49
2023-09-12 00:00:00,2358.77,2401.82,2330.0,2340.25,2363.73,22889.01717,13066,Ethereum,71.82,-18.52,72.68658565,2288.307143,2177.982143,2358.77,2356.41,2233.47,66.3335804135283,127.237345701678,2284.30207439376,2211.88682219906,72.4152521946989,5,12,49
2023-10-12 00:00:00,2340.26,2378.28,2323.0,2351.33,2351.94,12467.55827,8685,Ethereum,55.28,11.08,75.96766644,2310.878571,2198.587857,2340.25,2358.77,2356.41,54.4453862228413,130.475809911177,2301.05905579532,2230.47924590585,70.57980989,6,12,49
2023-11-12 00:00:00,2351.34,2353.47,1980.0,2224.51,2215.53,44141.50798,22278,Ethereum,373.47,-126.82,65.25780211,2308.234286,2212.682143,2351.33,2340.25,2358.77,58.5827038915074,120.838362552152,2281.92179184649,2229.68334645174,52.2384453947493,0,12,50
2023-12-12 00:00:00,2224.4,2241.48,2165.0,2201.84,2206.54,22799.97275,13177,Ethereum,76.48,-22.67,61.77847837,2295.225714,2223.57,2224.51,2351.33,2340.25,71.287729626072,111.501966729807,2261.90134388486,2225.97090025817,35.9304436266916,1,12,50
13/12/2023,2201.84,2283.59,2135.56,2260.41,2220.03,24564.66701,15092,Ethereum,148.03,58.57,66.83387774,2299.074286,2240.061429,2201.84,2224.51,2351.33,68.0518522542918,96.6846875838496,2261.52850791365,2230.56278022375,30.9657276898979,2,12,50
14/12/2023,2260.56,2332.43,2210.0,2316.1,2283.5,20960.41716,14611,Ethereum,122.43,55.69,68.3649767,2293.315714,2258.923571,2260.41,2201.84,2224.51,63.9748523138058,81.7915712797927,2275.17138093523,2241.96774286058,33.2036380746521,3,12,50
15/12/2023,2316.1,2316.8,2201.09,2218.77,2259.34,17339.76061,13213,Ethereum,115.71,-97.33,58.43316439,2273.315714,2268.336429,2316.1,2260.41,2201.84,61.9535987271102,66.6673283616418,2261.07103570142,2238.87471047917,22.196325222254,4,12,50
